id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2020-03-12,10,80,,10,800,2
,2021-11-25,,80,2,8,640,
,2022-06-07,,80,2,6,480,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
