id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2023-06-27,7,750,,7,5250,5
,2023-06-27,,750,2,5,3750,
,2023-11-24,,750,1,4,3000,
,2024-03-01,,750,1,3,2250,
,2024-04-24,,750,1,2,1500,
,2024-09-30,,750,1,1,750,
,2024-11-11,,750,1, -   ,0,
