id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2021-02-23,3,480,,3,1440,3
,2021-02-23,,480,2,1,480,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
