id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2020-03-12,30,5,5,30,150,4
,2020-03-12,,5,5,25,125,
,2020-03-12,,5,1,24,120,
,2020-03-24,,5,1,23,115,
,2020-03-24,,5,1,22,110,
,2020-03-24,,5,1,21,105,
,2020-03-24,,5,1,20,100,
,2022-03-08,,5,1,19,95,
,2022-03-24,,5,1,18,90,
