id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2021-02-23,10,48,,10,480,2
,2021-09-20,,48,2,8,384,
,2022-09-20,10,50,,18,900,3
,2023-03-22,,50,1,17,850,
,2024-08-12,,50,1,16,800,
