id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2019-11-01,4,75,,4,300,2
,2019-11-01,,75,1,3,225,
,2019-11-01,,75,3,0,0,
,2020-03-12,6,100,,6,600,4
,2020-03-24,,100,1,5,500,
,2020-03-24,,100,1,4,400,
,2020-03-24,,100,1,3,300,
