id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2021-02-23,20,68,,20,"1,360.00",3
,2022-04-07,,68,1,19,"1,292.00",
,2022-04-28,,68,1,18,"1,224.00",
,2023-04-13,,68,1,17,"1,156.00",
,2023-06-08,,68,1,16,"1,088.00",
,2024-04-16,,68,1,15,"1,020.00",
,2024-09-10,,68,1,14, 952.00 ,
